season,rank,player_id,player,age,team,position,games,games_started,minutes_per_game,field_goals_made,field_goal_attempts,field_goal_pct,three_pointers_made,three_point_attempts,three_point_pct,two_pointers_made,two_point_attempts,two_point_pct,effective_field_goal_pct,free_throws_made,free_throw_attempts,free_throw_pct,offensive_rebounds,defensive_rebounds,total_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,awards,is_multi_team_total
2024-25,217,knechda01,Dalton Knecht,23,LAL,SF,78,16,19.2,3.3,7.1,0.461,1.6,4.4,0.376,1.7,2.8,0.594,0.576,0.8,1.1,0.762,0.5,2.3,2.8,0.8,0.3,0.1,0.5,1.2,9.1,,FALSE
2024-25,218,lawsoaj01,A.J. Lawson,24,TOR,SG,26,2,18.7,3.1,7.3,0.421,1.3,3.9,0.327,1.8,3.4,0.528,0.508,1.7,2.4,0.683,0.8,2.5,3.3,1.2,0.5,0.2,0.6,1.7,9.1,,FALSE
2024-25,219,mccontj01,T.J. McConnell,32,IND,PG,79,1,17.9,4.1,7.9,0.519,0.2,0.6,0.306,3.9,7.3,0.537,0.531,0.7,1,0.74,0.6,1.9,2.4,4.4,1.1,0.3,1.4,1,9.1,,FALSE
2024-25,220,missiyv01,Yves Missi,20,NOP,C,73,67,26.8,3.7,6.7,0.547,0,0,0,3.7,6.7,0.548,0.547,1.7,2.8,0.623,3.5,4.7,8.2,1.4,0.5,1.3,1.1,2,9.1,,FALSE
2024-25,221,onealro01,Royce O'Neale,31,PHO,SF,75,22,24.5,3.2,7.6,0.423,2.4,5.9,0.406,0.8,1.7,0.481,0.58,0.3,0.3,0.731,0.7,3.9,4.7,2.2,0.9,0.5,0.9,2,9.1,,FALSE
2024-25,222,butleja02,Jared Butler,24,2TM,SG,60,17,17.4,3.4,7.6,0.448,1,2.8,0.355,2.4,4.7,0.504,0.514,1.3,1.5,0.824,0.4,1.4,1.8,3.7,0.7,0.2,1.3,1.6,9,,TRUE
2024-25,223,smartma01,Marcus Smart,30,2TM,PG,34,7,20,3,7.6,0.393,1.4,4.1,0.348,1.5,3.4,0.448,0.488,1.6,2.1,0.761,0.5,1.6,2.1,3.2,1.1,0.3,1.6,1.6,9,,TRUE
2024-25,224,greendr01,Draymond Green,34,GSW,PF,68,66,29.2,3.2,7.5,0.424,1.2,3.6,0.325,2,3.9,0.517,0.503,1.5,2.2,0.687,1.1,5,6.1,5.6,1.5,1,2.6,3.2,9,DPOY-3DEF1,FALSE
2024-25,225,hayeski01,Killian Hayes,23,BRK,PG,6,5,27,3,7.2,0.419,1.3,3.5,0.381,1.7,3.7,0.455,0.512,1.7,2,0.833,0.8,2.2,3,5.2,0.7,0.7,1.5,2.2,9,,FALSE
2024-25,226,horfoal01,Al Horford,38,BOS,C,60,42,27.7,3.3,7.7,0.423,1.9,5.2,0.363,1.4,2.5,0.551,0.547,0.6,0.6,0.895,1.3,4.8,6.2,2.1,0.6,0.9,0.8,1.4,9,,FALSE
2024-25,227,strawju01,Julian Strawther,22,DEN,SG,65,4,21.3,3.2,7.5,0.432,1.4,4.1,0.349,1.8,3.3,0.535,0.529,1.1,1.4,0.822,0.3,1.9,2.2,1.3,0.6,0.2,0.9,2.3,9,,FALSE
2024-25,228,willipa01,Patrick Williams,23,CHI,PF,63,36,25,3.3,8.2,0.397,1.5,4.3,0.353,1.7,3.9,0.447,0.49,1,1.3,0.723,0.7,3.1,3.8,2,0.8,0.5,1.4,1.4,9,,FALSE
2024-25,229,nurkiju01,Jusuf Nurkić,30,2TM,C,51,32,20.8,3.3,6.9,0.477,0.6,2.1,0.305,2.7,4.8,0.551,0.523,1.7,2.5,0.664,1.7,6.1,7.8,2.3,0.8,0.7,1.9,2.5,8.9,,TRUE
2024-25,230,capelca01,Clint Capela,30,ATL,C,55,41,21.4,4,7.1,0.559,0,0,0,4,7.1,0.56,0.559,0.9,1.8,0.536,3.2,5.4,8.5,1.1,0.6,1,0.9,1.9,8.9,,FALSE
2024-25,231,juzanjo01,Johnny Juzang,23,UTA,SG,64,18,19.8,3.2,7.4,0.429,1.8,4.9,0.376,1.3,2.5,0.534,0.554,0.7,0.8,0.849,0.7,2.2,2.9,1.1,0.6,0.1,0.6,2,8.9,,FALSE
2024-25,232,kennalu01,Luke Kennard,28,MEM,SG,65,11,22.6,3.2,6.6,0.478,1.7,4,0.433,1.4,2.6,0.547,0.609,0.8,0.9,0.895,0.6,2.2,2.8,3.3,0.8,0.1,1.1,0.9,8.9,,FALSE
2024-25,233,champju01,Justin Champagnie,23,WAS,SF,62,31,21.6,3.4,6.6,0.511,1.2,3.1,0.383,2.2,3.5,0.624,0.601,0.8,1.2,0.685,1.8,3.9,5.7,1,1,0.6,0.9,1.8,8.8,,FALSE
2024-25,234,mykhasv01,Svi Mykhailiuk,27,UTA,SF,38,13,20,3.1,7.9,0.391,1.8,5.3,0.345,1.3,2.6,0.485,0.507,0.7,0.9,0.8,0.6,1.8,2.4,2,0.5,0.2,1.4,1.1,8.8,,FALSE
2024-25,235,paulch01,Chris Paul,39,SAS,PG,82,82,28,3,7.1,0.427,1.7,4.5,0.377,1.3,2.6,0.514,0.547,1,1.1,0.924,0.4,3.2,3.6,7.4,1.3,0.3,1.6,1.8,8.8,,FALSE
2024-25,236,olynyke01,Kelly Olynyk,33,2TM,C,44,22,20.3,3,6.1,0.5,0.8,1.8,0.418,2.3,4.3,0.534,0.562,1.9,2.5,0.769,1.4,3.3,4.7,2.9,0.8,0.4,1.7,2.8,8.7,,TRUE
2024-25,237,finnedo01,Dorian Finney-Smith,31,2TM,PF,63,40,28.9,3.1,6.9,0.448,2,5,0.411,1,1.9,0.545,0.597,0.5,0.7,0.667,1.3,2.7,3.9,1.4,0.9,0.4,0.9,2.2,8.7,,TRUE
2024-25,238,brissos01,Oshae Brissett,26,PHI,SF,6,2,23.7,3.2,6.5,0.487,1,3,0.333,2.2,3.5,0.619,0.564,1.3,2.3,0.571,1.2,2.5,3.7,0.7,0.7,0.5,1.3,2.3,8.7,,FALSE
2024-25,239,caldwke01,Kentavious Caldwell-Pope,31,ORL,SG,77,77,29.6,3.1,7.1,0.439,1.5,4.3,0.342,1.6,2.8,0.589,0.543,1.1,1.2,0.863,0.4,1.8,2.2,1.8,1.3,0.4,0.8,1.8,8.7,,FALSE
2024-25,240,colliis01,Isaiah Collier,20,UTA,PG,71,46,25.9,3.3,7.8,0.422,0.6,2.4,0.249,2.7,5.4,0.497,0.459,1.5,2.2,0.682,0.5,2.9,3.3,6.3,0.9,0.2,2.9,2.1,8.7,,FALSE
2024-25,241,exumda01,Danté Exum,29,DAL,PG,20,13,18.6,3.2,6.7,0.478,1.2,2.7,0.434,2.1,4.1,0.506,0.563,1.2,1.6,0.742,0.2,1.5,1.7,2.8,0.6,0.2,1.1,1.7,8.7,,FALSE
2024-25,242,georgky01,Kyshawn George,21,WAS,SG,68,38,26.5,3,8,0.372,1.7,5.2,0.322,1.3,2.8,0.464,0.476,1,1.4,0.753,0.7,3.5,4.2,2.5,1,0.7,1.4,3,8.7,,FALSE
2024-25,243,hardyja02,Jaden Hardy,22,DAL,SG,57,3,15.9,3.2,7.3,0.435,1.3,3.5,0.386,1.8,3.8,0.479,0.527,1.1,1.5,0.698,0.2,1.4,1.6,1.4,0.5,0.1,1.4,1.6,8.7,,FALSE
2024-25,244,livelde01,Dereck Lively II,20,DAL,C,36,29,23.1,3.7,5.3,0.702,0,0,,3.7,5.3,0.702,0.702,1.3,2,0.63,2.9,4.6,7.5,2.4,0.6,1.6,1.1,2.8,8.7,,FALSE
2024-25,245,martity01,Tyrese Martin,25,BRK,SG,60,11,21.9,3.2,7.8,0.406,1.7,4.7,0.351,1.5,3.1,0.492,0.513,0.8,1,0.793,1,2.7,3.7,2,0.6,0.2,1.2,1.3,8.7,,FALSE
2024-25,246,buzelma01,Matas Buzelis,20,CHI,SF,80,31,18.9,3.2,6.9,0.454,1.2,3.3,0.361,2,3.6,0.54,0.541,1.1,1.4,0.815,0.7,2.8,3.5,1,0.4,0.9,0.9,1.6,8.6,ROY-7,FALSE
2024-25,247,jaqueja01,Jaime Jaquez Jr.,23,MIA,SF,66,17,20.7,3.2,7,0.461,0.6,1.8,0.311,2.7,5.2,0.513,0.501,1.6,2.2,0.754,1.3,3.1,4.4,2.5,0.9,0.2,1.5,1.2,8.6,,FALSE
2024-25,248,walteja01,Ja'Kobe Walter,20,TOR,SG,52,18,21.2,3.1,7.6,0.405,1.3,3.6,0.349,1.8,4,0.454,0.487,1.3,1.6,0.795,1.1,1.9,3.1,1.6,0.8,0.2,1,1.8,8.6,,FALSE
2024-25,249,hausesa01,Sam Hauser,27,BOS,PF,71,19,21.7,3,6.7,0.451,2.3,5.6,0.416,0.7,1.1,0.64,0.627,0.2,0.2,1,0.6,2.5,3.2,0.9,0.6,0.2,0.3,1.2,8.5,,FALSE
2024-25,250,nancela02,Larry Nance Jr.,32,ATL,PF,24,3,19.3,3.3,6.5,0.516,1.4,3.2,0.447,1.9,3.3,0.582,0.626,0.4,0.5,0.692,1,3.3,4.3,1.6,0.8,0.5,0.7,1.5,8.5,,FALSE
2024-25,251,rhodeja01,Jared Rhoden,25,2TM,SG,14,2,16.2,3,6.2,0.483,0.9,2.8,0.308,2.1,3.4,0.625,0.552,1.6,1.8,0.88,1,2,3,1.1,0.7,0.1,0.6,1.4,8.4,,TRUE
2024-25,252,nowelja01,Jaylen Nowell,25,NOP,SG,8,0,21,3.3,9.1,0.356,1,3.4,0.296,2.3,5.8,0.391,0.411,0.9,1.4,0.636,0.8,1.8,2.5,2.3,0.1,0.5,1,1.1,8.4,,FALSE
